Series,Type,ID,Title-EN,Synonym-EN,Title-KR,Synonym-KR
04,A,1,Messy,cluttered;dirty;confused;,엉망인,지저분한;더러운;헐란수러운
04,A,2,Spicy,fiery;hot;zesty;,매운,매콤한;화끈한;자극적인;
04,A,3,Wasteful,careless;lavish;reckless;,낭비적인,사치스러운;절약하지않는;
04,A,4,Shiny,bright;gleaming;glossy;,반짝거리는,빛나는;윤기나는;
04,A,5,Cruel,vicious;evil;unkind;,잔인한,잔혹한;무자비한;
04,A,6,Incredible,unblievable;unimaginable;improbable;,굉장한,믿기 힘든;대단한;놀라운;
04,A,7,Wacky,crazy;absurd;silly;,익살스러운,괴짜스러운;희한한;
04,A,8,Brave,adventurous;courageous;sprited;,용감한,겁이 없는;대담한;용맹스러운;
04,A,9,Hilarious,very funny;amusing;humorous;,아주 우스운,웃기는;재미있는;유쾌한;
04,A,10,Gentle,amiable;compassionate;tender;,온화한,순한;부드러운;살살;
04,A,11,Smelly,funky;stinky;foul;,냄새 나는,악취나는;더러운;지독한;
04,A,12,Cowardly,fearful;gutless;timid;,비겁한,겁이 많은;비열한;비굴한;
